twogram,frequency
lest pas,2513
ne lest,2513
tu métonnes,2512
perdu la,2511
voulez quoi,2510
mais comment,2506
non mais,2503
je sache,2503
doux jésus,2502
est temps,2501
en sécurité,2498
pas assez,2497
il me,2493
du temps,2493
le plan,2492
oh cest,2492
excusezmoi monsieur,2491
allez où,2490
ben oui,2484
qui dautre,2484
on devrait,2483
non tu,2481
on sait,2480
merci bien,2480
vous partez,2479
quelle importance,2478
dois le,2478
et pour,2478
était là,2478
es sérieux,2477
plus jamais,2475
le prends,2469
du sang,2464
de faim,2463
meurs de,2463
pas que,2463
fais chier,2462
laissezmoi vous,2460
êtes prêts,2460
qui tu,2459
je reviendrai,2457
vous aviez,2457
faitesmoi confiance,2457
aviez raison,2457
par qui,2456
restez où,2456
tu mécoutes,2451
tu maimes,2450
jen peux,2449
voilà ce,2448
et les,2448
semaine prochaine,2448
sais que,2447
cest nul,2446
laissezmoi tranquille,2445
où étiezvous,2445
entendu ça,2443
jai à,2443
oh oh,2440
tas compris,2439
ce truc,2435
ne pleure,2432
ny pense,2429
nous devons,2429
bien non,2426
ai marre,2424
me crois,2419
tes sérieux,2419
changé davis,2419
pour de,2418
dérange pas,2416
la tienne,2414
qui sontils,2410
vous appelezvous,2410
ne se,2408
sert à,2406
aller où,2405
ma vie,2404
men occuper,2401
de panique,2400
la nuit,2394
tes sûre,2393
cest insensé,2393
ton tour,2392
est son,2389
faites ce,2389
jespère bien,2389
beaucoup mieux,2387
pas y,2386
ça change,2386
a quel,2383
cest délicieux,2382
pourquoi vous,2379
mes excuses,2379
attention à,2375
il ment,2373
un miracle,2373
un coup,2371
mas fait,2368
est la,2366
pas non,2365
merci maman,2361
vous voudrez,2361
temps presse,2359
de me,2357
tu voudras,2356
pas ridicule,2354
la fête,2353
comme nous,2349
suis de,2345
est belle,2344
cest triste,2344
