search_string,start_time,end_time,sentence,video_id,video_url
tussen deze twee dames en deze meisjes misschien kunnen jullie daar thuis zeker als je met elkaar op de,459,471,tussen deze twee dames en deze meisjes misschien kunnen jullie daar thuis zeker als je met elkaar op de,MNCyjl4jaxY,https://www.youtube.com/watch?v=MNCyjl4jaxY&t=459s
vanavond dat u steeds weer denkt wat is het toch geweldig dat het bij ons eigenlijk al maar gewoon maar,2477,2483,tijdens dit college vanavond dat u steeds weer denkt wat is het toch geweldig dat het bij ons eigenlijk al maar gewoon maar,XRBb17aWENc,https://www.youtube.com/watch?v=XRBb17aWENc&t=2477s
dan wordt het drie keer niks geloof me krijg je hem terug vinden mensen niet leuk ook al krijgen ze hem,4563,4569,dan wordt het drie keer niks geloof me krijg je hem terug vinden mensen niet leuk ook al krijgen ze hem cadeau,37RqLFakmo0,https://www.youtube.com/watch?v=37RqLFakmo0&t=4563s
wat men zegt is dat het een moeilijk jaar geweest is we kijken ook vooruit en een beetje een moment van,1102,1109,wat men zegt is dat het een moeilijk jaar geweest is we kijken ook vooruit en een beetje een moment van terugkijken,6aI9JzwGJy8,https://www.youtube.com/watch?v=6aI9JzwGJy8&t=1102s
vraag in het leven is wat doe je daarmee dat je jezelf minder vindt of t niet waard of niet goed genoeg,827,837,een belangrijke vraag in het leven is wat doe je daarmee dat je jezelf minder vindt of t niet waard of niet goed genoeg,eUeLIPgef2A,https://www.youtube.com/watch?v=eUeLIPgef2A&t=827s
net als dat je eigenlijk muziek op hebt dat je gewoon lekker niks hoort en je loopt rustig door de stad,967,971,net als dat je eigenlijk muziek op hebt dat je gewoon lekker niks hoort en je loopt rustig door de stad,F94oQobBQ2Q,https://www.youtube.com/watch?v=F94oQobBQ2Q&t=967s
maar ik ben er dan ook weer blij mee want het is toch wel heel fijn als je met een kleine groep echt de,125,133,maar ik ben er dan ook weer blij mee want het is toch wel heel fijn als je met een kleine groep echt de diepte in kunt gaan,tblVw8IN1tU,https://www.youtube.com/watch?v=tblVw8IN1tU&t=125s
wanneer ik me niet goed voel over mijn lichaam probeer ik iets te doen wat daar niks mee te maken heeft,683,691,wanneer ik me niet goed voel over mijn lichaam probeer ik iets te doen wat daar niks mee te maken heeft,PFoVpzQdnlU,https://www.youtube.com/watch?v=PFoVpzQdnlU&t=683s
het geeft je heel veel rust je kan in die tijd zo veel andere leuke dingen doen dat is gewoon heel fijn,195,201,het geeft je heel veel rust je kan in die tijd zo veel andere leuke dingen doen dat is gewoon heel fijn,FvJQS2PUXcc,https://www.youtube.com/watch?v=FvJQS2PUXcc&t=195s
hen dus met de vraag van kunnen we iets doen en daarmee zijn we in gesprek gegaan dus jullie waren zelf,2525,2532,hen dus met de vraag van kunnen we iets doen en daarmee zijn we in gesprek gegaan dus jullie waren zelf,EZMgSCfbiGs,https://www.youtube.com/watch?v=EZMgSCfbiGs&t=2525s
ja maar ze moesten maar niet naar hier komen ik zou mijn kinderen niet zo in gevaar brengen dat ze daar,1305,1310,opkomt ja maar ze moesten maar niet naar hier komen ik zou mijn kinderen niet zo in gevaar brengen dat ze daar,sJf0tb4QeLQ,https://www.youtube.com/watch?v=sJf0tb4QeLQ&t=1305s
de andere jongens heb ik niet meer gezien ik heb geen idee waar iedereen is maar ik ga snel naar buiten,563,567,de andere jongens heb ik niet meer gezien ik heb geen idee waar iedereen is maar ik ga snel naar buiten,jy_uFRsyaD8,https://www.youtube.com/watch?v=jy_uFRsyaD8&t=563s
als je ergens bang voor bent je kan het altijd vragen er zijn altijd mensen die je erbij willen helpen,485,489,als je ergens bang voor bent je kan het altijd vragen er zijn altijd mensen die je erbij willen helpen,5S5QX4ZK3Q0,https://www.youtube.com/watch?v=5S5QX4ZK3Q0&t=485s
zijn er nog vragen of iemand vraagt nog als er n ding was dat je over mocht doen wat zou je dan anders,3592,3600,zijn er nog vragen of iemand vraagt nog als er n ding was dat je over mocht doen wat zou je dan anders,EZMgSCfbiGs,https://www.youtube.com/watch?v=EZMgSCfbiGs&t=3592s
maar eigenlijk heb ik altijd wel het idee dat ik er zelf best wel veel van af weet omdat ik gewoon wel,243,249,maar eigenlijk heb ik altijd wel het idee dat ik er zelf best wel veel van af weet omdat ik gewoon wel master student ben,NMrAFPIoM2o,https://www.youtube.com/watch?v=NMrAFPIoM2o&t=243s
nog echt niet duidelijk maar bij mij zit het wel al in mijn hoofd zo leg ik het wil krijgen als ik nog,588,596,nog echt niet duidelijk maar bij mij zit het wel al in mijn hoofd zo leg ik het wil krijgen als ik nog,4OE321XI9ko,https://www.youtube.com/watch?v=4OE321XI9ko&t=588s
maar bij deze baan let je wel iets langer op bed dan normaal voor groot onderzoek voor mij zou zijn ze,391,396,maar bij deze baan let je wel iets langer op bed dan normaal voor groot onderzoek voor mij zou zijn ze namelijk op zoek naar,heepz0hm1tY,https://www.youtube.com/watch?v=heepz0hm1tY&t=391s
de mensen die er werken hebben we gevraagd naar het verhaal er achter en die kennen het eigenlijk niet,454,460,de mensen die er werken hebben we gevraagd naar het verhaal er achter en die kennen het eigenlijk niet,3hXIBlQCZTQ,https://www.youtube.com/watch?v=3hXIBlQCZTQ&t=454s
